,city,Cloudiness,Dates,Humidity,Lat,Lngs,Max Temp,Wind Speed,Country
170,vila,75,1580171203,100,42.03,-8.16,13.89,2.1,PT
171,boralday,90,1580171785,92,43.36,76.86,-1.0,3.0,KZ
172,sinazongwe,29,1580171785,76,-17.26,27.46,24.82,3.81,ZM
173,tarata,75,1580171785,42,-17.62,-66.02,20.0,6.2,BO
174,bang saphan,20,1580171785,100,11.21,99.51,20.0,1.0,TH
175,arraial do cabo,75,1580171785,83,-22.97,-42.03,26.0,6.2,BR
176,ust-tsilma,89,1580171786,99,65.44,52.15,-27.62,0.83,RU
177,haputale,72,1580171786,68,6.77,80.96,14.92,1.28,LK
178,souris,75,1580171786,77,49.62,-100.26,-14.0,3.1,CA
179,sitka,75,1580170940,76,57.05,-135.33,3.0,6.2,US
180,pisco,40,1580171196,83,-13.7,-76.22,23.0,7.7,PE
181,coahuayana,5,1580171215,57,18.73,-103.68,25.0,3.32,MX
182,leh,95,1580171225,66,34.17,77.58,-23.35,2.05,IN
183,klaksvik,35,1580171250,68,62.23,-6.59,0.0,1.0,FO
184,kaitangata,58,1580171786,63,-46.28,169.85,20.0,3.34,NZ
185,cabo san lucas,20,1580171787,64,22.89,-109.91,22.0,5.7,MX
186,adrar,21,1580171236,23,20.5,-10.07,21.57,4.76,MR
187,cherskiy,50,1580171584,90,68.75,161.3,-25.28,2.25,RU
188,nkoteng,28,1580171787,59,4.52,12.03,18.4,1.51,CM
189,orlik,0,1580171787,63,52.52,99.83,-19.61,1.24,RU
190,holme,100,1580171787,93,56.11,10.17,7.0,2.6,DK
191,srednekolymsk,98,1580171214,97,67.45,153.68,-30.83,2.17,RU
192,lasa,90,1580171787,100,46.62,10.7,1.67,11.8,IT
193,labuhan,72,1580171136,85,-6.88,112.21,26.04,1.11,ID
194,wenling,6,1580171788,76,28.37,121.36,5.45,3.39,CN
195,longyearbyen,34,1580171050,77,78.22,15.64,-16.0,1.0,SJ
196,benghazi,11,1580171788,77,32.12,20.07,15.42,5.11,LY
197,konstantinovka,84,1580171788,96,49.62,127.98,-23.7,2.58,RU
198,provideniya,75,1580171788,77,64.38,-173.3,-17.0,3.0,RU
199,san cristobal,40,1580171523,69,7.77,-72.22,27.0,2.1,VE
200,novooleksiyivka,82,1580171789,77,46.23,34.64,5.51,3.05,UA
201,yarim,5,1580171789,50,14.3,44.38,7.54,1.48,YE
202,torbay,75,1580171136,88,47.67,-52.73,2.22,6.37,CA
203,benguela,99,1580171789,82,-12.58,13.41,25.89,1.23,AO
204,georgetown,20,1580171195,94,5.41,100.34,27.0,1.5,MY
205,caravelas,100,1580171226,88,-17.71,-39.25,27.02,7.44,BR
206,palmer,90,1580171789,60,42.16,-72.33,4.44,4.1,US
207,hofn,81,1580171789,56,64.25,-15.21,4.85,4.0,IS
208,alexandria,40,1580171790,82,31.22,29.96,13.0,1.0,EG
209,sikonge,81,1580171790,98,-5.63,32.77,16.11,0.76,TZ
210,lorengau,87,1580171214,78,-2.02,147.27,29.07,6.05,PG
211,sao filipe,0,1580171158,56,14.9,-24.5,23.6,7.03,CV
212,rudbar,0,1580171790,65,30.15,62.6,4.94,7.04,AF
213,kununurra,93,1580171760,66,-15.77,128.73,32.0,2.6,AU
214,ufimskiy,100,1580171790,96,56.71,58.05,-20.45,3.4,RU
215,taltal,0,1580171790,83,-25.4,-70.48,19.21,1.92,CL
216,saldanha,90,1580171235,76,-33.01,17.94,14.0,2.6,ZA
217,guerrero negro,10,1580171791,65,27.98,-114.06,17.83,5.58,MX
218,omboue,46,1580171791,95,-1.57,9.26,24.52,0.63,GA
219,matale,100,1580171791,94,7.47,80.62,17.83,1.41,LK
220,koumac,68,1580171791,46,-20.57,164.28,30.17,2.12,NC
221,dumbea,40,1580171791,44,-22.15,166.45,34.0,6.2,NC
222,komsomolskiy,90,1580171233,80,40.43,71.72,2.0,1.0,UZ
223,itainopolis,78,1580171791,88,-7.45,-41.48,23.9,1.41,BR
224,jodhpur,68,1580171792,69,26.29,73.03,15.09,2.59,IN
225,shimoda,75,1580171182,93,34.67,138.95,11.0,12.9,JP
226,jinchang,41,1580171249,57,38.5,102.17,-9.13,0.69,CN
227,esperance,0,1580171056,48,-33.87,121.9,28.0,6.7,AU
228,quatre cocos,40,1580171792,83,-20.21,57.76,22.22,2.6,MU
229,praia da vitoria,75,1580171792,93,38.73,-27.07,18.0,15.03,PT
230,envira,93,1580171792,90,-7.3,-70.22,25.5,1.21,BR
231,rasmiresti,100,1580171792,91,43.98,25.55,5.0,0.45,RO
232,chokurdakh,100,1580171793,97,70.63,147.92,-29.74,3.28,RU
233,te anau,50,1580171793,67,-45.42,167.72,16.03,2.46,NZ
234,itigi,99,1580171793,93,-5.7,34.48,16.6,0.53,TZ
235,tiksi,100,1580171627,91,71.69,128.87,-29.59,1.64,RU
236,kawalu,100,1580171193,90,-7.38,108.21,23.04,0.41,ID
237,high rock,75,1580171253,83,26.62,-78.28,22.0,2.1,BS
238,ixtapa,40,1580171793,61,20.7,-105.2,26.0,3.6,MX
239,tigzirt,10,1580171793,69,36.89,4.12,13.16,4.61,DZ
240,elliot lake,90,1580171793,80,46.38,-82.63,-1.0,4.6,CA
241,katsuura,75,1580171794,93,35.13,140.3,5.0,10.3,JP
242,ingham,90,1580171794,86,42.6,-84.38,1.67,2.1,US
243,san angelo,40,1580171538,30,31.46,-100.44,22.0,5.1,US
244,champerico,40,1580171794,78,14.3,-91.92,27.0,3.1,GT
245,kahului,20,1580171221,42,20.89,-156.47,30.0,6.7,US
246,toppenish,90,1580171794,75,46.38,-120.31,8.89,3.6,US
247,lixourion,2,1580171794,70,38.2,20.43,14.27,8.94,GR
248,maraa,81,1580171794,84,-1.83,-65.37,25.79,0.82,BR
249,camabatela,100,1580171795,96,-8.19,15.38,17.21,1.23,AO
250,isla vista,40,1580171795,63,34.41,-119.86,22.22,2.6,US
251,nishihara,75,1580171795,63,26.18,127.76,18.0,6.7,JP
252,puerto del rosario,75,1580171795,77,28.5,-13.86,18.0,6.7,ES
253,kodiak,75,1580171795,52,57.79,-152.41,-7.0,3.6,US
254,amurzet,0,1580171795,87,47.7,131.1,-15.69,1.11,RU
255,abha,20,1580171241,39,18.22,42.51,9.0,0.93,SA
256,katobu,0,1580171796,79,-4.94,122.53,28.49,0.62,ID
257,grindavik,90,1580171796,73,63.84,-22.43,2.0,2.6,IS
258,naberera,99,1580171796,94,-4.2,36.93,19.22,3.48,TZ
259,tabuk,65,1580171796,85,17.42,121.44,21.26,1.8,PH
260,koungheul,0,1580171796,9,13.98,-14.8,26.78,3.84,SN
261,akyab,0,1580171796,70,20.15,92.9,15.46,4.05,MM
262,tevaitoa,82,1580171797,72,-16.78,-151.5,28.54,4.64,PF
263,suntar,100,1580171797,98,62.14,117.63,-21.74,1.1,RU
264,mangrol,3,1580171665,78,21.12,70.12,21.4,7.45,IN
265,ambulu,50,1580171797,81,-8.35,113.61,27.3,2.29,ID
266,flinders,75,1580171151,69,-34.58,150.86,27.0,1.5,AU
267,chadiza,60,1580171797,86,-14.07,32.44,18.63,0.75,ZM
268,kargopol,99,1580171797,86,61.51,38.95,-13.62,2.01,RU
269,mahebourg,40,1580171798,83,-20.41,57.7,22.22,2.6,MU
270,ahipara,0,1580171798,77,-35.17,173.17,20.94,4.55,NZ
271,nelson,92,1580171798,41,-41.28,173.28,30.0,3.13,NZ
272,yerbogachen,34,1580171226,97,61.28,108.01,-18.85,2.41,RU
273,kabare,86,1580171798,98,-2.47,28.82,14.59,1.13,CD
274,qianan,100,1580171798,96,44.99,124.06,-14.79,3.8,CN
275,moron,33,1580171798,56,-34.65,-58.62,21.11,4.1,AR
276,souillac,40,1580171799,83,-20.52,57.52,22.22,2.6,MU
277,juegang,100,1580171799,89,32.32,121.19,3.89,5.65,CN
278,nantucket,90,1580171799,80,41.28,-70.1,5.56,4.6,US
279,svetlogorsk,94,1580171799,92,52.63,29.73,-1.02,2.1,BY
280,rach gia,34,1580171799,100,10.02,105.08,22.0,2.87,VN
281,saint george,1,1580171799,25,37.1,-113.58,16.11,2.1,US
282,fairbanks,90,1580171799,67,64.84,-147.72,-30.0,1.03,US
283,lerwick,41,1580171217,75,60.15,-1.15,5.0,8.2,GB
284,udachnyy,40,1580171800,68,66.42,112.4,-26.0,2.0,RU
285,nhulunbuy,75,1580171237,74,-12.23,136.77,31.0,7.2,AU
286,vera cruz,90,1580171800,91,-12.63,-41.03,21.31,0.79,BR
287,sinnamary,99,1580171054,80,5.38,-52.95,26.63,7.18,GF
288,clyde river,5,1580171800,74,70.47,-68.59,-31.0,3.6,CA
289,zalantun,4,1580171801,85,48.0,122.72,-15.69,1.65,CN
290,ocho rios,40,1580171801,69,18.4,-77.1,26.0,2.1,JM
291,timiryazevskoye,40,1580171801,79,56.49,84.88,-2.78,7.0,RU
292,sechura,28,1580171801,81,-5.56,-80.82,24.02,5.63,PE
293,lata,75,1580171638,93,40.16,-8.33,15.0,3.6,PT
294,saint-augustin,100,1580171801,93,51.23,-58.65,-5.97,12.02,CA
295,midland,1,1580171679,22,32.0,-102.08,21.0,6.21,US
296,buraydah,0,1580171801,69,26.33,43.98,3.0,1.4,SA
297,bonavista,94,1580171802,88,48.65,-53.11,2.22,7.15,CA
298,tolaga bay,0,1580171802,83,-38.37,178.3,21.34,4.3,NZ
299,soanierana ivongo,94,1580171802,92,-16.92,49.58,22.17,1.91,MG
300,dubbo,0,1580171802,38,-32.25,148.62,33.0,6.7,AU
301,kaniama,86,1580171802,96,-7.57,24.18,19.7,1.04,CD
302,saint-philippe,20,1580171543,64,-21.36,55.77,22.0,3.6,RE
303,tasiilaq,98,1580171803,58,65.61,-37.64,-2.0,2.1,GL
304,airai,84,1580171804,74,-8.93,125.41,24.86,0.92,TL
305,sao joao da barra,100,1580171052,90,-21.64,-41.05,25.24,4.69,BR
306,pevek,67,1580171804,90,69.7,170.31,-20.09,1.15,RU
307,acapulco,20,1580171644,65,16.86,-99.89,28.0,3.1,MX
308,haftoni,0,1580171804,100,38.76,48.76,-2.0,1.78,AZ
309,padang,95,1580171230,93,-0.95,100.35,20.42,1.49,ID
310,kavaratti,22,1580171261,66,10.57,72.64,26.62,2.94,IN
311,agua verde,5,1580171805,60,22.9,-106.05,24.0,4.6,MX
312,syracuse,5,1580171805,100,37.09,15.28,9.44,2.6,IT
313,broome,90,1580171166,92,42.25,-75.83,1.11,3.6,US
314,athabasca,57,1580171805,82,54.72,-113.29,-4.78,2.34,CA
315,schkeuditz,75,1580171805,81,51.4,12.22,7.22,5.7,DE
316,liwale,76,1580171805,97,-9.77,37.93,22.17,2.87,TZ
317,beloha,1,1580171805,91,-25.17,45.05,21.7,2.0,MG
318,sao felix do xingu,86,1580171805,94,-6.64,-51.99,23.66,2.06,BR
319,auki,96,1580171806,68,-8.77,160.7,29.56,3.29,SB
320,ferme-neuve,94,1580171806,97,46.7,-75.45,-4.42,1.73,CA
321,azul,0,1580171628,42,-36.78,-59.86,20.56,1.34,AR
322,bilma,50,1580171806,12,18.69,12.92,14.68,1.33,NE
323,elizabeth city,90,1580171806,61,36.29,-76.25,11.11,2.6,US
324,paredon,0,1580171806,72,16.03,-93.87,26.89,3.38,MX
325,castle rock,90,1580171622,92,39.37,-104.86,3.89,0.43,US
326,ponta delgada,75,1580171221,93,37.73,-25.67,17.0,7.7,PT
327,maraba,100,1580171807,94,-5.37,-49.12,26.0,1.5,BR
328,goulburn,86,1580171807,32,-34.75,149.72,30.0,3.69,AU
329,muisne,37,1580171807,78,0.6,-80.03,28.0,2.1,EC
330,sulina,100,1580171807,97,45.16,29.65,7.79,2.03,RO
331,leningradskiy,94,1580171807,96,69.38,178.42,-22.89,4.1,RU
332,arys,90,1580171807,100,42.43,68.8,-2.0,2.93,KZ
333,nikel,75,1580171807,83,69.41,30.22,-24.0,2.6,RU
334,valdivia,81,1580171808,73,-39.81,-73.25,21.0,5.1,CL
335,san quintin,0,1580171808,72,30.48,-115.95,16.3,3.55,MX
336,batagay,0,1580171808,69,67.63,134.63,-40.28,0.95,RU
337,isangel,40,1580171209,62,-19.55,169.27,31.0,4.1,VU
338,namibe,99,1580171808,78,-15.2,12.15,24.24,1.16,AO
339,petropavlovsk-kamchatskiy,79,1580171701,77,53.05,158.65,0.0,2.0,RU
340,turukhansk,100,1580171808,89,65.82,87.98,-11.23,6.72,RU
341,anshun,97,1580171808,95,26.25,105.93,0.51,2.51,CN
342,nouakchott,0,1580171702,49,18.09,-15.98,21.0,4.1,MR
343,savannakhet,40,1580171809,82,16.57,104.75,17.0,1.0,LA
344,portland,90,1580170926,93,45.52,-122.68,10.56,8.2,US
345,coihueco,7,1580171809,30,-36.62,-71.83,30.0,3.6,CL
346,mapastepec,11,1580171809,78,15.43,-92.9,24.55,1.82,MX
347,kuvandyk,100,1580171809,92,51.48,57.36,-12.85,6.12,RU
348,stanger,90,1580171809,88,-29.33,31.29,20.56,0.5,ZA
349,awjilah,26,1580171809,28,29.11,21.29,13.72,1.63,LY
350,vostok,0,1580171809,74,46.49,135.88,-8.85,1.07,RU
351,yarmouth,90,1580171810,56,41.71,-70.23,5.56,2.6,US
352,norman wells,75,1580171810,68,65.28,-126.83,-27.0,5.1,CA
353,college,90,1580171229,67,64.86,-147.8,-30.0,1.06,US
354,dandong,100,1580171810,62,40.13,124.39,-0.64,2.38,CN
355,buin,20,1580171810,30,-33.73,-70.75,29.0,3.1,CL
356,mount gambier,100,1580171810,56,-37.83,140.77,21.0,3.6,AU
357,deoband,99,1580171810,87,29.7,77.68,11.99,3.87,IN
358,fukue,75,1580171810,87,32.69,128.84,12.0,4.1,JP
359,najran,5,1580171811,48,17.49,44.13,7.0,0.86,SA
360,virginia beach,75,1580171635,70,36.85,-75.98,10.56,1.5,US
361,owando,65,1580171811,43,-0.48,15.9,23.05,1.03,CG
362,tygda,0,1580171236,96,53.12,126.33,-24.58,2.07,RU
363,khagaria,0,1580171811,81,25.5,86.48,11.59,1.84,IN
364,amahai,20,1580171811,78,-3.33,128.92,28.09,3.89,ID
365,bardiyah,57,1580171811,55,31.76,25.09,14.88,5.23,LY
366,geraldton,0,1580171149,74,-28.77,114.6,26.0,3.1,AU
367,manono,65,1580171812,91,-7.3,27.42,19.92,1.21,CD
368,neryungri,94,1580171812,96,56.67,124.65,-20.29,1.3,RU
369,evensk,100,1580171812,94,61.95,159.23,-7.59,2.52,RU
370,ampanihy,2,1580171812,88,-24.7,44.75,22.75,1.55,MG
371,sydney,75,1580171219,74,-33.87,151.21,30.56,2.1,AU
372,vestmannaeyjar,96,1580171812,67,63.44,-20.27,4.48,9.98,IS
373,zhaotong,98,1580171812,89,27.32,103.72,-2.67,1.59,CN
374,stewarton,75,1580171812,93,55.67,-4.5,2.0,2.1,GB
375,biak,42,1580171765,80,-0.91,122.88,27.43,1.64,ID
376,yatou,99,1580171813,90,37.15,122.38,4.21,3.79,CN
377,garissa,99,1580171813,82,-0.45,39.64,25.2,3.58,KE
378,talaya,63,1580171813,100,61.38,152.75,-20.3,0.39,RU
379,aranos,0,1580171813,15,-24.13,19.12,22.9,5.03,NA
380,manaus,75,1580171054,94,-3.1,-60.02,27.0,3.1,BR
381,bambous virieux,40,1580171813,83,-20.34,57.76,22.22,2.6,MU
382,bridlington,100,1580171624,100,54.08,-0.19,5.0,3.6,GB
383,lasalgaon,0,1580171813,91,20.15,74.23,13.43,3.34,IN
384,lazarev,100,1580171813,91,52.23,141.51,-12.16,0.9,RU
